x,y,z
-0.36617200,-0.23030900,1.95050000
-0.28935300,-0.25067900,1.92472000
-0.25050900,-0.29522100,1.98660000
-0.25066900,-0.32819600,1.96677000
-0.34966400,-0.26876200,1.94053000
-0.17074400,-0.35126900,1.84823000
-0.23131900,-0.32875400,1.90428000
-0.19034400,-0.37376800,1.88611000
-0.33228200,-0.23561100,1.96652000
-0.17167300,-0.37181400,1.88548000
-0.13074400,-0.37095200,1.86548000
-0.19145200,-0.31329000,1.92377000
-0.16773100,-0.31097600,1.86304000
-0.22441500,-0.37147700,1.89229000
-0.32874200,-0.28603500,1.90962000
-0.24869000,-0.34983100,1.92525000
-0.23262300,-0.33290800,1.96438000
-0.28793800,-0.29756500,1.98505000
-0.29163700,-0.28835900,1.91120000
-0.20843400,-0.35184400,1.89311000
-0.20874400,-0.31354100,1.92473000
-0.32828100,-0.27422700,1.91216000
-0.14810100,-0.32974500,1.86111000
-0.19170000,-0.31440000,1.95107000
-0.24402700,-0.34711100,1.95097000
-0.23006300,-0.30706200,1.98293000
-0.34834300,-0.31086900,1.93617000
-0.19280200,-0.32246000,1.92008000
-0.32437400,-0.23727400,1.95248000
-0.21018300,-0.30456500,1.97853000
-0.28928200,-0.31417100,1.98534000
-0.26882900,-0.35055500,1.92372000
-0.28880700,-0.31808700,1.90669000
-0.20983000,-0.35209400,1.94624000
-0.25173900,-0.31107600,1.98018000
-0.19450900,-0.39401800,1.93284000
-0.16833900,-0.38981200,1.84885000
-0.34749600,-0.27150900,1.91285000
-0.36244400,-0.31054700,1.93138000
-0.22990000,-0.38910900,1.91724000
-0.22898000,-0.27269200,1.92599000
-0.19154300,-0.37219600,1.94647000
-0.22608600,-0.34736500,1.94387000
-0.30759100,-0.24773000,1.94724000
-0.22260600,-0.34965300,1.89458000
-0.21186900,-0.26841600,1.94458000
-0.21947800,-0.31990800,1.88873000
-0.26884200,-0.28803800,1.92411000
-0.26849200,-0.29563000,1.98768000
-0.20982500,-0.32879800,1.85801000
-0.21085300,-0.35279100,1.92541000
-0.28695300,-0.33485900,1.95106000
-0.12827200,-0.33066100,1.88464000
-0.34949900,-0.31158300,1.92903000
-0.19155700,-0.28384500,1.92689000
-0.22798500,-0.32621100,1.88910000
-0.17017000,-0.41049400,1.86437000
-0.21088600,-0.32965700,1.89042000
-0.32993200,-0.23217400,1.92281000
-0.20684100,-0.30735500,1.96464000
-0.21568800,-0.29565400,1.98474000
-0.12935100,-0.35176900,1.87874000
-0.21012100,-0.37232900,1.92947000
-0.16758900,-0.31463200,1.95356000
-0.34852600,-0.23608800,1.97745000
-0.34888800,-0.24903100,1.91923000
-0.18728900,-0.38840700,1.94072000
-0.26818800,-0.33013300,1.92623000
-0.19073700,-0.34881100,1.90894000
-0.30282500,-0.31557800,1.91227000
-0.26729800,-0.31213200,1.96580000
-0.24436200,-0.34103000,1.95798000
-0.29850400,-0.23529600,1.92950000
-0.24531200,-0.32157400,1.97678000
-0.28875800,-0.31231800,1.96801000
-0.23374600,-0.25968800,1.94612000
-0.20820900,-0.39075200,1.92441000
-0.35095800,-0.23595200,1.94981000
-0.36992500,-0.21678400,1.92613000
-0.18892700,-0.31355500,1.85250000
-0.16897200,-0.28984800,1.90590000
-0.16857800,-0.32826800,1.92195000
-0.17131000,-0.31608700,1.89001000
-0.36823000,-0.26776200,1.92123000
-0.15076800,-0.31371300,1.89022000
-0.28701300,-0.26915600,1.92327000
-0.35085900,-0.27124300,1.92583000
-0.14869800,-0.27458800,1.90636000
-0.21823200,-0.33168600,1.95041000
-0.15457300,-0.31767400,1.86790000
-0.30851000,-0.31436500,1.96684000
-0.27046900,-0.29769900,1.95917000
-0.16006900,-0.32236600,1.85691000
-0.20790900,-0.27149700,1.92337000
-0.35051000,-0.21583600,1.92412000
-0.25042700,-0.37061000,1.91740000
-0.33004500,-0.25664400,1.91432000
-0.34761400,-0.23356700,1.91537000
-0.16873800,-0.27424100,1.92029000
-0.32463900,-0.31422600,1.96989000
-0.14961400,-0.36529200,1.90937000
-0.26797400,-0.31123400,1.94477000
-0.31189800,-0.23641200,1.92416000
-0.28985100,-0.29121900,1.94478000
-0.31062600,-0.27291600,1.91270000
-0.37288800,-0.22966600,1.91209000
-0.11716700,-0.36907800,1.86505000
-0.17556200,-0.29547600,1.86301000
-0.24765200,-0.33063300,1.94468000
-0.14407200,-0.36667200,1.87583000
-0.16785100,-0.34437300,1.91788000
-0.30359400,-0.31019600,1.93863000
-0.36935500,-0.23089300,1.92326000
-0.30750500,-0.32889100,1.92106000
-0.31065700,-0.27181800,1.94853000
-0.35321300,-0.21466200,1.91216000
-0.11070000,-0.35324700,1.87176000
-0.30998100,-0.28529000,1.90818000
-0.22892500,-0.31418200,1.90671000
-0.17399500,-0.33511200,1.91327000
-0.35093100,-0.24202400,1.98080000
-0.29580500,-0.27915400,1.95204000
-0.19499000,-0.26804400,1.91245000
-0.22924300,-0.31324700,1.94574000
-0.20914500,-0.28467500,1.92532000
-0.28821000,-0.32681100,1.96242000
-0.26806400,-0.34157300,1.94717000
-0.26043600,-0.32219500,1.89191000
-0.26842800,-0.33344900,1.94650000
-0.15119100,-0.37233000,1.87164000
-0.14907100,-0.28989000,1.90195000
-0.13587800,-0.38043500,1.85537000
-0.16891100,-0.35268300,1.90768000
-0.27000600,-0.31390000,1.92765000
-0.25038900,-0.31642800,1.94357000
-0.32883600,-0.24886100,1.91898000
-0.14096500,-0.35977200,1.85911000
-0.34986500,-0.24718100,1.96647000
-0.36688200,-0.24931200,1.92307000
-0.31202300,-0.25476500,1.96287000
-0.24341500,-0.27007700,1.94017000
-0.20802500,-0.29247800,1.96027000
-0.18860100,-0.29201900,1.96616000
-0.18716400,-0.29300600,1.95352000
-0.19316200,-0.35071000,1.95893000
-0.36589100,-0.24883700,1.94769000
-0.35044500,-0.25154800,1.94629000
-0.33042000,-0.24346400,1.95800000
-0.33032500,-0.25371300,1.94784000
-0.30880200,-0.25025000,1.92122000
-0.27646300,-0.25705900,1.91404000
-0.26987400,-0.27001700,1.92633000
-0.25374900,-0.25745900,1.92543000
-0.18990300,-0.27320900,1.92525000
-0.17398000,-0.27708400,1.90678000
-0.14327300,-0.29009500,1.89301000
-0.13143700,-0.29591000,1.89229000
-0.18854100,-0.35186000,1.89003000
-0.23609200,-0.32167500,1.97861000
-0.24967500,-0.37093600,1.90810000
-0.36016800,-0.27238100,1.91517000
-0.22961900,-0.35116000,1.92673000
-0.22870800,-0.34552200,1.96021000
-0.26869000,-0.30947400,1.98397000
-0.38451000,-0.25333000,1.92739000
-0.34879000,-0.22885200,1.92077000
-0.33488600,-0.21804300,1.92820000
-0.29371500,-0.26906200,1.91306000
-0.28690100,-0.28809000,1.92168000
-0.29004600,-0.31418200,1.92854000
-0.27210100,-0.31554300,1.90760000
-0.24941700,-0.27081500,1.92612000
-0.24902300,-0.28993000,1.92732000
-0.24913800,-0.32979500,1.93012000
-0.23098500,-0.28973300,1.92479000
-0.23077200,-0.33322500,1.94397000
-0.22969800,-0.26773300,1.94183000
-0.22736200,-0.28271800,1.93732000
-0.21382300,-0.31272000,1.94921000
-0.20789000,-0.29678000,1.94922000
-0.20979300,-0.33578100,1.96320000
-0.20607400,-0.34857700,1.96057000
-0.20146100,-0.27810300,1.96113000
-0.18904500,-0.30882100,1.96218000
-0.18895600,-0.33110600,1.96478000
-0.14912500,-0.35169900,1.85184000
-0.30926700,-0.31113100,1.92570000
-0.30822800,-0.32829400,1.96361000
-0.16914300,-0.37385000,1.87342000
-0.35552000,-0.28398000,1.91459000
-0.34790400,-0.28963300,1.93039000
-0.32864400,-0.27154200,1.92360000
-0.30615100,-0.26994700,1.92017000
-0.31036100,-0.23848800,1.94796000
-0.27486800,-0.29428800,1.91378000
-0.26712500,-0.32269200,1.90358000
-0.24970300,-0.31430200,1.90884000
-0.24734600,-0.31275600,1.92292000
-0.24812200,-0.32515800,1.90490000
-0.22801100,-0.31150900,1.92372000
-0.20914800,-0.32956800,1.90558000
-0.21018400,-0.35272700,1.90902000
-0.17470600,-0.31417200,1.92459000
-0.16995100,-0.36932400,1.90231000
-0.15103300,-0.35572000,1.91229000
-0.13119400,-0.37173600,1.91010000
-0.33318400,-0.30679000,1.93788000
-0.32913000,-0.31162700,1.92520000
-0.30736600,-0.29868100,1.97347000
-0.28788600,-0.31003800,1.94285000
-0.24792100,-0.31268800,1.96402000
-0.23274600,-0.29370800,1.98510000
-0.23182900,-0.30899000,1.96424000
-0.22987600,-0.35439100,1.90446000
-0.30394200,-0.33760900,1.95296000
-0.28861500,-0.34419900,1.94317000
-0.26911900,-0.32745100,1.96228000
-0.20412200,-0.36668300,1.93895000
-0.19847800,-0.35628200,1.94803000
-0.19087100,-0.36489000,1.90391000
-0.20897400,-0.27731500,1.91256000
-0.28773500,-0.35469500,1.92290000
-0.16925200,-0.33159600,1.85107000
-0.15374200,-0.33697600,1.85248000
-0.13883400,-0.33491500,1.84963000
-0.13322800,-0.35036100,1.86414000
-0.11835100,-0.36389200,1.87875000
-0.36390500,-0.27527600,1.94003000
-0.35956300,-0.28316700,1.91425000
-0.34814600,-0.22966800,1.96236000
-0.33056200,-0.26919800,1.94129000
-0.32925500,-0.29296600,1.92898000
-0.32612800,-0.28669900,1.93762000
-0.24894100,-0.29691300,1.97051000
-0.23192700,-0.32833200,1.92794000
-0.21033700,-0.32346100,1.92336000
-0.15657100,-0.33987100,1.91190000
-0.36015100,-0.25263600,1.91361000
-0.33616400,-0.23723400,1.97571000
-0.28845100,-0.25148800,1.91018000
-0.14943200,-0.28277900,1.91859000
-0.15954600,-0.28571100,1.89201000
-0.30776200,-0.26587800,1.96389000
-0.29277000,-0.27116800,1.96372000
-0.22267800,-0.27366100,1.91497000
-0.35228700,-0.21456300,1.95462000
-0.19077800,-0.39057100,1.84807000
-0.18879600,-0.33202200,1.88990000
-0.22266900,-0.29360700,1.91101000
-0.23031600,-0.37006900,1.90242000
-0.20705900,-0.29142400,1.90539000
-0.20883000,-0.31199700,1.90267000
-0.20870400,-0.31710500,1.89029000
-0.21031700,-0.36708900,1.90055000
-0.20864900,-0.37416300,1.89043000
-0.18793500,-0.29085100,1.90780000
-0.19090300,-0.31091400,1.90143000
-0.18959800,-0.31644700,1.88903000
-0.19045300,-0.37152300,1.84861000
-0.18941700,-0.39535200,1.87344000
-0.16992300,-0.30587700,1.89648000
-0.16979300,-0.33104200,1.88463000
-0.18976200,-0.38866300,1.88058000
-0.16791100,-0.35128500,1.87965000
-0.17037700,-0.39547000,1.87233000
-0.14816300,-0.33042400,1.88260000
-0.14849500,-0.35213800,1.87716000
-0.14810200,-0.39038000,1.85096000
-0.14786700,-0.38367500,1.86243000
-0.13124100,-0.31305900,1.89262000
-0.13131300,-0.38902400,1.86037000
-0.13088400,-0.38657300,1.85241000
-0.18993100,-0.35183500,1.84912000
-0.18749300,-0.30994800,1.85817000
-0.17118200,-0.37064600,1.84782000
-0.14992500,-0.37161000,1.85029000
-0.13791600,-0.33602700,1.86640000
-0.33783600,-0.31999600,1.91512000
-0.36471300,-0.28373400,1.93653000
-0.32978100,-0.33083800,1.92267000
-0.31177000,-0.29785000,1.93145000
-0.30692500,-0.34969600,1.92194000
-0.30724500,-0.28787300,1.93936000
-0.28765800,-0.33084100,1.92267000
-0.28444700,-0.28428600,1.96140000
-0.27563800,-0.29634900,1.95184000
-0.22992300,-0.37054500,1.92168000
-0.24438200,-0.35958200,1.91400000
-0.23497000,-0.38140400,1.89625000
-0.27491000,-0.32143100,1.98711000
-0.19377800,-0.35708100,1.91919000
-0.16836300,-0.38944600,1.88205000
-0.15797900,-0.39655000,1.87889000
-0.15681300,-0.40103000,1.87636000
