x,y,z
1.21212000,-0.59209600,3.48711000
2.66011000,-1.07322000,3.44087000
2.14352000,-0.64003100,3.84766000
1.98844000,-0.74730000,3.06367000
1.93156000,-0.41140500,3.58620000
2.67224000,-1.09108000,3.44475000
1.45462000,-0.35094900,2.99027000
1.51312000,-1.18685000,3.04505000
2.09271000,-0.26917400,3.70290000
2.81099000,-0.41856600,4.02979000
1.81111000,-0.65670900,3.14340000
1.97182000,-0.65181600,3.30678000
2.01365000,-0.29336300,3.39204000
1.41082000,-0.85052200,3.00637000
1.53221000,-1.08415000,3.05823000
1.97058000,-0.13592300,3.56519000
2.15186000,-0.47089600,3.42741000
1.73278000,-0.47141000,3.72631000
2.51042000,-0.65389900,3.44584000
2.45761000,-0.88894100,3.18231000
1.51816000,-1.06128000,2.99088000
2.59058000,-0.65616000,3.42600000
2.25128000,-0.65232600,4.40526000
1.97200000,-0.73119000,3.48593000
1.29365000,-0.69171700,3.51019000
1.38441000,-0.76991800,2.95810000
1.57006000,-0.99120500,3.00486000
2.43057000,-0.45234600,3.20808000
2.14536000,-0.24793400,3.62281000
2.46468000,-1.21051000,3.19175000
1.85089000,-0.22791700,3.86516000
2.05019000,-0.72771000,3.52505000
1.51113000,-0.58846400,2.98672000
1.74944000,-0.45024600,3.80611000
1.23161000,-0.67102900,3.52389000
2.11018000,-0.69269600,2.96545000
2.10988000,-0.57108900,3.24777000
2.28959000,-0.51096100,3.26760000
1.42986000,-0.33079500,3.04500000
2.23411000,-0.43069000,3.30319000
1.77118000,-0.22364600,3.62143000
1.50918000,-0.63251600,3.78555000
1.73210000,-0.72788700,2.79913000
1.73225000,-0.79085800,2.90307000
2.82823000,-0.74845500,3.94195000
2.55094000,-0.67652800,3.98533000
1.92756000,-0.68631400,3.14689000
2.20990000,-0.51179300,3.32572000
1.98983000,-0.58817400,3.44455000
1.29063000,-0.99037300,3.18666000
2.46851000,-0.88820500,3.18530000
2.09794000,-0.53432200,3.33185000
2.04890000,-0.39053400,3.48432000
2.15911000,-1.08891000,3.30137000
2.69523000,-0.65143600,3.70597000
2.19130000,-0.24752700,3.48634000
2.62804000,-0.45262300,4.34330000
2.01356000,-0.19280000,3.74487000
1.22330000,-1.05233000,3.44855000
2.07004000,-0.51151100,3.46639000
1.62768000,-0.35207800,3.92445000
1.79215000,-0.72917700,2.80692000
2.07008000,-1.17270000,2.84421000
2.65129000,-0.75613500,3.62629000
1.42008000,-0.61526800,2.95516000
2.30979000,-0.63181200,3.18687000
1.48959000,-0.51082700,3.66584000
2.30999000,-0.19119600,3.32391000
1.47020000,-0.65060000,2.92860000
2.73053000,-0.72290900,3.86831000
1.25164000,-0.67347100,3.22560000
2.50864000,-1.16904000,3.25123000
2.49312000,-0.63195300,4.34710000
2.17467000,-1.07040000,2.96051000
1.30548000,-1.14926000,3.16498000
2.81002000,-0.43046700,4.14527000
2.04901000,-0.72524500,3.34473000
2.03049000,-0.25024600,3.68591000
2.42245000,-1.25483000,3.28016000
2.03264000,-0.48999500,3.38685000
1.35315000,-1.08178000,3.06629000
1.21154000,-1.21111000,3.38206000
2.06922000,-0.76774000,3.04100000
1.63176000,-0.65038200,3.74551000
2.05151000,-0.62901000,3.68488000
2.31204000,-1.15127000,3.14279000
2.01086000,-0.61186900,3.48499000
1.30912000,-0.48815100,3.68451000
1.43096000,-0.53167900,3.70445000
2.74877000,-0.97053300,4.14738000
1.74198000,-0.51179400,3.86372000
2.25172000,-0.65433300,4.36565000
2.06977000,-0.72816200,3.40542000
1.37191000,-0.49273800,2.97176000
2.77116000,-0.47013100,4.16596000
1.05116000,-1.06936000,3.44520000
2.11654000,-0.71141800,3.07408000
1.49117000,-0.33124800,2.94333000
2.60682000,-0.85088400,3.33276000
2.30897000,-0.59244700,3.38465000
0.93047200,-1.19103000,3.32469000
2.01064000,-0.68880000,3.36469000
2.01064000,-0.53035800,3.58271000
1.39053000,-0.89028400,2.98409000
2.19161000,-0.53037500,3.38347000
1.32446000,-0.47427100,3.32024000
2.22738000,-0.39143500,3.48439000
2.70159000,-0.52662200,4.26250000
1.93210000,-0.27181200,3.56486000
2.50235000,-0.72035500,3.61538000
1.91102000,-0.71072400,3.54686000
1.52083000,-0.39095300,3.02588000
1.75145000,-0.71035800,2.84577000
1.87077000,-0.33053200,3.60473000
2.37792000,-1.14909000,3.19927000
2.29250000,-0.43068700,3.58332000
1.28533000,-0.40847900,3.44261000
1.29097000,-0.46876100,3.24640000
2.41197000,-0.70561300,4.10631000
2.41437000,-1.23073000,3.26699000
1.77157000,-1.09113000,3.06721000
2.36262000,-0.44768500,3.35030000
2.09018000,-0.65082500,3.44679000
1.63242000,-0.64941800,2.90656000
1.50996000,-1.17213000,3.01144000
1.68774000,-0.55406600,2.88990000
1.57098000,-0.91068000,2.96648000
2.73016000,-0.67637800,3.88563000
1.67095000,-0.87314300,2.97778000
1.14042000,-0.66157400,3.35037000
2.09011000,-0.71148500,3.40512000
2.09348000,-0.39133900,3.38721000
2.42182000,-1.30495000,3.31569000
1.58402000,-0.64059400,3.23080000
1.21298000,-0.81066900,3.24626000
1.29206000,-0.57335900,3.00817000
2.07009000,-0.55025000,3.38428000
2.01209000,-0.19298600,3.66838000
2.73386000,-0.86970800,4.18213000
2.79215000,-0.73357300,3.52495000
2.01757000,-0.79361800,2.88521000
2.07005000,-0.51015600,3.56470000
2.39115000,-0.53098200,3.54516000
1.83139000,-0.35117600,3.53042000
2.74776000,-0.87183000,4.12408000
1.41238000,-0.27612000,2.99281000
2.21220000,-0.15215300,3.48306000
2.17252000,-0.94976600,2.98391000
1.33043000,-0.51079300,3.06659000
2.27247000,-0.21290900,3.54142000
2.27702000,-0.97150500,3.04495000
1.34549000,-0.58036000,3.55287000
