x,y,z
4.75265000,-1.35525000,2.86561000
4.75291000,-1.31516000,2.70327000
4.87088000,-1.36940000,2.94602000
4.69060000,-1.35315000,2.66673000
4.80874000,-1.30937000,2.78670000
4.79009000,-1.34958000,2.94522000
4.68997000,-1.35111000,2.68524000
4.79001000,-1.30691000,2.91033000
4.75174000,-1.32708000,2.84528000
4.77193000,-1.35350000,2.78549000
4.82903000,-1.32774000,2.84748000
4.81039000,-1.28669000,2.92549000
4.79786000,-1.29629000,2.91424000
4.77134000,-1.35169000,2.76528000
4.85181000,-1.35341000,2.84560000
4.75354000,-1.31517000,2.80445000
4.73062000,-1.37185000,2.74584000
4.74881000,-1.38919000,2.72604000
4.75186000,-1.32597000,2.86476000
4.83088000,-1.36780000,2.88500000
4.87172000,-1.31307000,2.88456000
4.77273000,-1.31099000,2.86327000
4.85384000,-1.33466000,2.82384000
4.82652000,-1.31034000,2.86556000
4.75083000,-1.37340000,2.74424000
4.83100000,-1.35607000,2.90457000
4.77324000,-1.31380000,2.87759000
4.73152000,-1.35143000,2.66346000
4.74844000,-1.29205000,2.74063000
4.71297000,-1.29799000,2.73910000
4.79049000,-1.38776000,2.82727000
4.77647000,-1.33369000,2.90551000
4.86911000,-1.33636000,2.84611000
4.69216000,-1.31665000,2.72598000
4.73059000,-1.31533000,2.67860000
4.73201000,-1.38852000,2.68654000
4.71114000,-1.33008000,2.76509000
4.75061000,-1.38942000,2.80709000
4.73094000,-1.37288000,2.84587000
4.75722000,-1.31598000,2.82808000
4.75375000,-1.35158000,2.84531000
4.73019000,-1.34942000,2.80609000
4.81285000,-1.29682000,2.82506000
4.73701000,-1.32010000,2.76445000
4.83133000,-1.35211000,2.86467000
4.75085000,-1.37091000,2.82496000
4.75087000,-1.38691000,2.78600000
4.88875000,-1.37175000,2.88451000
4.82982000,-1.35560000,2.88507000
4.74830000,-1.35022000,2.80634000
4.83099000,-1.29383000,2.82437000
4.71226000,-1.39130000,2.74535000
4.84230000,-1.29621000,2.84534000
4.76780000,-1.32802000,2.76706000
4.73129000,-1.33151000,2.66643000
4.80976000,-1.32753000,2.90692000
4.83188000,-1.38642000,2.90635000
4.72860000,-1.39010000,2.72571000
4.84623000,-1.31295000,2.92934000
4.76885000,-1.38379000,2.72794000
4.75090000,-1.33109000,2.80604000
4.71264000,-1.31516000,2.74429000
4.75119000,-1.38941000,2.86511000
4.77007000,-1.37096000,2.88462000
4.85164000,-1.36800000,2.90445000
4.75036000,-1.33076000,2.70613000
4.87097000,-1.37001000,2.92570000
4.80963000,-1.36583000,2.78715000
4.85201000,-1.36926000,2.84534000
4.85037000,-1.35348000,2.82586000
4.70906000,-1.33058000,2.68343000
4.85254000,-1.38631000,2.92553000
4.78999000,-1.35148000,2.80536000
4.77262000,-1.33401000,2.86446000
4.73241000,-1.40511000,2.80914000
4.83175000,-1.35533000,2.82534000
4.83119000,-1.31254000,2.94576000
4.73344000,-1.32712000,2.74714000
4.79135000,-1.33025000,2.82345000
4.79134000,-1.37134000,2.94534000
4.73070000,-1.37172000,2.82595000
4.73906000,-1.31715000,2.77924000
4.71083000,-1.35491000,2.72441000
4.77495000,-1.33561000,2.88208000
4.80951000,-1.38853000,2.92578000
4.80474000,-1.28593000,2.91179000
4.83043000,-1.29088000,2.80747000
4.77152000,-1.37276000,2.76508000
4.81159000,-1.31201000,2.86463000
4.89304000,-1.33442000,2.90280000
4.80820000,-1.35212000,2.82485000
4.89006000,-1.33503000,2.86717000
4.84418000,-1.38321000,2.83474000
