x,y,z
3.75159000,-0.94776900,4.00694000
3.73518000,-0.91468200,3.55083000
3.75087000,-0.90992100,3.70549000
3.55665000,-1.13056000,3.67141000
3.65139000,-0.91393500,3.68656000
3.67333000,-0.99054900,3.62763000
3.87028000,-0.89518300,3.68566000
3.73038000,-1.15107000,3.56487000
3.73004000,-0.87696300,3.84537000
3.70821000,-1.15240000,3.62447000
3.95061000,-0.92611700,3.88590000
3.70997000,-1.16992000,3.58505000
3.68598000,-1.19068000,3.64084000
3.52639000,-1.20920000,3.74193000
3.91054000,-0.87813200,3.84471000
3.93067000,-0.92530600,3.88647000
3.75026000,-0.91299400,3.94605000
3.73210000,-0.96565300,3.96228000
3.63153000,-0.89121200,3.88515000
3.77241000,-0.92836100,3.68601000
3.63075000,-0.92808500,3.84495000
3.95104000,-0.90848900,3.76501000
3.53305000,-1.17061000,3.76825000
3.57377000,-1.01133000,3.72871000
3.55851000,-0.95188700,3.69019000
3.73188000,-0.91218600,3.58647000
3.70810000,-0.94528600,3.71280000
3.79079000,-0.87807500,3.90489000
3.75267000,-0.91303400,3.54822000
3.49288000,-0.95103900,3.84358000
3.50652000,-0.97111600,3.84519000
3.50830000,-1.01035000,3.82364000
3.85032000,-0.94792000,3.68594000
3.79022000,-0.91067400,3.78547000
3.73131000,-0.92788100,3.92552000
3.69142000,-0.89113000,3.80617000
3.75248000,-0.95045300,3.54673000
3.52779000,-0.94950600,3.86579000
3.72956000,-0.98680000,3.92659000
3.68826000,-1.09095000,3.62326000
3.65222000,-0.93119700,3.66696000
3.79047000,-0.89061900,3.84599000
3.51935000,-0.93955900,3.73427000
3.83104000,-0.87943600,3.86549000
3.47996000,-1.15043000,3.84871000
3.73930000,-0.95850400,3.79227000
3.49655000,-0.91348600,3.78506000
3.59623000,-1.15054000,3.67017000
3.58784000,-1.01024000,3.74343000
3.51339000,-1.17115000,3.74631000
3.72991000,-1.27055000,3.58489000
3.55372000,-1.01173000,3.88719000
3.73058000,-0.91200000,3.88583000
3.67220000,-0.93098400,3.64654000
3.69393000,-1.13062000,3.56831000
3.83064000,-0.89305300,3.74505000
3.76763000,-1.09066000,3.58174000
3.73020000,-0.84772000,3.96467000
3.55614000,-0.93218300,3.70962000
3.85018000,-0.92731600,3.64639000
3.50716000,-1.14825000,3.67213000
3.66943000,-1.01081000,3.64415000
3.57053000,-0.99061300,3.66546000
3.69761000,-1.09311000,3.57239000
3.53190000,-0.89165500,3.80568000
3.47864000,-1.25091000,3.81361000
3.83097000,-0.91157800,4.04577000
3.70992000,-0.90952300,3.68480000
3.60885000,-0.92847400,3.74396000
3.76789000,-1.01096000,3.52900000
3.67098000,-0.90990700,3.76592000
3.54947000,-1.11022000,3.66653000
3.73093000,-1.03085000,3.56610000
3.70975000,-0.92564200,3.96531000
3.59130000,-1.00731000,3.62538000
3.80096000,-0.91953900,3.53519000
3.53398000,-1.11383000,3.67082000
3.75540000,-1.21073000,3.52999000
3.54633000,-1.19173000,3.78249000
3.61305000,-0.89584700,3.74741000
3.58437000,-0.97171400,3.81185000
3.54651000,-1.00907000,3.66405000
3.63683000,-1.25037000,3.65213000
3.67651000,-0.95105600,4.00019000
3.47193000,-1.05083000,3.72329000
3.87115000,-0.92946700,3.92613000
3.85055000,-0.88974000,4.00466000
3.80992000,-0.90998500,3.58588000
3.60429000,-1.11065000,3.73960000
3.62710000,-0.94916400,3.70165000
3.87076000,-0.89129000,3.88555000
3.74998000,-1.07062000,3.58562000
3.67111000,-1.13090000,3.62647000
3.77491000,-0.87639800,3.78560000
3.73217000,-0.92827200,3.84577000
3.61042000,-0.91022900,3.86572000
3.69649000,-0.99738700,3.99269000
3.75229000,-0.95409500,3.86462000
3.47950000,-1.21878000,3.79411000
3.54960000,-0.99097400,3.78386000
3.77011000,-0.95536400,3.98737000
3.50820000,-1.11108000,3.82297000
3.75101000,-0.89066000,4.02674000
3.63113000,-0.92534700,3.90511000
3.76501000,-0.84396400,3.96543000
3.65092000,-0.90906600,3.90566000
3.72421000,-1.09243000,3.62113000
3.54532000,-1.00911000,3.90351000
3.87289000,-0.92887200,3.60656000
3.67286000,-0.87688100,3.76765000
3.75031000,-1.05114000,3.58418000
3.69157000,-0.95113100,3.66501000
3.82962000,-0.91354300,3.98638000
3.49524000,-1.26857000,3.78612000
3.49377000,-1.09041000,3.78369000
3.69213000,-0.93006000,3.58858000
3.81141000,-0.89080900,3.82559000
3.63299000,-1.09136000,3.66694000
3.52956000,-1.03000000,3.87069000
3.67063000,-0.91218900,3.68558000
3.71011000,-0.96931700,3.94551000
3.57077000,-1.07013000,3.70766000
3.50946000,-0.99067300,3.78305000
3.59080000,-0.89092600,3.82570000
3.65392000,-0.99159100,3.64861000
3.51551000,-1.14995000,3.84438000
3.69105000,-0.87806700,3.86704000
3.59585000,-0.87976400,3.90048000
3.55018000,-1.03075000,3.70567000
3.66973000,-1.02953000,3.98752000
3.74712000,-0.98531400,3.93064000
3.63245000,-0.94620700,3.80713000
3.59172000,-0.98910500,3.90310000
3.72876000,-0.92507800,3.62301000
3.75125000,-0.89025800,3.82519000
3.72814000,-0.87372400,4.00574000
3.69185000,-1.09041000,3.60654000
3.83105000,-0.93182100,4.00558000
3.50051000,-0.91881400,3.87768000
3.57039000,-1.07101000,3.74594000
3.57383000,-1.03162000,3.72865000
3.93091000,-0.89027100,3.90464000
3.71135000,-1.05039000,3.58637000
3.73016000,-0.88789500,4.04529000
3.89163000,-0.87766600,3.88663000
3.53181000,-0.89336100,3.82646000
3.59000000,-0.93019200,3.88555000
3.67698000,-1.17211000,3.60967000
3.85021000,-0.92651500,3.74472000
3.73413000,-1.17149000,3.55011000
3.65406000,-0.96939500,3.60932000
3.85097000,-0.94707000,4.02491000
3.69909000,-1.20049000,3.54721000
3.55061000,-1.16754000,3.72685000
3.87014000,-0.92820100,3.82511000
3.69220000,-0.96946200,3.94461000
3.93082000,-0.89309400,3.74520000
3.58308000,-1.02962000,3.66013000
3.75268000,-1.09050000,3.52913000
3.91088000,-0.91146300,3.84467000
3.80239000,-1.00603000,3.56549000
3.55156000,-1.01139000,3.68525000
3.75378000,-1.07103000,3.52982000
3.51101000,-1.13098000,3.78632000
3.49168000,-1.16983000,3.80535000
3.79062000,-0.88899900,4.06524000
3.71015000,-0.87937800,3.82590000
3.61188000,-0.97115200,3.92353000
3.81069000,-0.89256300,3.76561000
3.74984000,-0.87688300,3.90523000
3.53482000,-1.05010000,3.76781000
3.74908000,-1.25084000,3.58321000
3.51455000,-0.91177800,3.78664000
3.67030000,-0.90903400,3.88596000
3.65088000,-0.95762500,3.90825000
3.71562000,-1.19145000,3.56971000
3.69087000,-0.87460300,3.90584000
3.74970000,-1.18993000,3.54410000
3.85079000,-0.89033900,3.94563000
3.69092000,-0.91103400,4.00440000
3.59160000,-0.92789600,3.80539000
3.68885000,-1.07044000,3.62385000
3.76844000,-0.87203800,3.82507000
3.51957000,-0.89582700,3.89604000
3.90979000,-0.91040600,3.94474000
3.70446000,-0.94271300,3.74105000
3.87072000,-0.89260600,3.76598000
3.97061000,-0.93051500,3.76526000
3.61202000,-0.87758900,3.84566000
3.73097000,-0.90912400,3.74573000
3.49858000,-0.89863100,3.86424000
3.48616000,-1.09082000,3.85848000
3.61029000,-0.89048900,3.84534000
3.66831000,-0.84762900,3.82355000
3.69106000,-0.96963500,3.92664000
3.93090000,-0.92532000,3.82527000
3.78655000,-0.99190900,3.52938000
3.77191000,-0.97003900,3.56545000
3.57073000,-0.93007700,3.80502000
3.59239000,-1.00634000,3.88411000
3.85089000,-0.91093800,3.66516000
3.83117000,-0.92825800,3.88474000
3.83101000,-0.88945400,4.00582000
3.52942000,-1.27111000,3.78482000
3.47956000,-1.13601000,3.77332000
3.75063000,-0.94685900,3.80597000
3.73162000,-1.07116000,3.56641000
3.81081000,-0.89070000,3.90618000
3.73074000,-0.91067600,3.66575000
3.89090000,-0.88984800,3.92566000
3.59314000,-1.01046000,3.64755000
3.53119000,-1.09109000,3.78675000
3.72893000,-0.92679700,3.70505000
3.78379000,-1.07744000,3.57561000
3.60293000,-0.96412200,3.75632000
3.53773000,-1.01533000,3.66957000
