x,y,z
3.24920000,-0.25065400,2.22528000
3.35128000,-0.49067400,2.58645000
3.41116000,-0.59182200,1.88245000
2.81132000,-0.47113800,1.66647000
3.47334000,-0.71000000,1.88713000
2.61117000,-0.56912800,1.80923000
4.16974000,-0.69098200,2.68693000
2.99690000,-1.10884000,2.55387000
3.11283000,-0.71195300,2.72401000
2.76392000,-0.83052800,1.68276000
3.01040000,-0.57635400,2.48740000
2.79094000,-0.69795400,2.16630000
3.19147000,-0.67589200,1.48707000
3.80898000,-0.27192900,2.04152000
3.25114000,-0.25149700,2.24052000
2.66805000,-0.78871700,2.28918000
3.27590000,-0.55153100,2.19073000
3.77252000,-0.95097700,3.02735000
3.56702000,-0.64874100,1.88650000
3.65061000,-0.67128500,2.54627000
3.56681000,-0.55033700,1.68620000
3.49103000,-0.67760600,3.00505000
2.99663000,-1.03001000,2.66283000
3.81115000,-0.68904600,2.14418000
2.65167000,-0.43094000,1.76546000
2.79294000,-0.55205600,1.58872000
3.59204000,-0.31120200,2.26665000
3.92257000,-0.96303200,2.95660000
3.05049000,-0.74958000,2.00447000
3.55039000,-0.51079100,2.36602000
3.48985000,-0.57062200,1.72611000
4.07208000,-0.67183300,2.70711000
2.80573000,-0.98890000,2.39311000
3.35300000,-1.05059000,2.90507000
3.99261000,-0.74849400,2.76743000
3.01135000,-0.75356300,1.72551000
3.30958000,-0.27068000,2.44530000
2.68964000,-0.71123900,1.86536000
3.09386000,-0.23069500,2.58804000
3.64201000,-0.58190100,1.81455000
2.70056000,-0.95503200,1.74915000
3.55284000,-0.49102100,1.72622000
3.18107000,-1.10643000,2.73257000
3.41213000,-0.29057500,2.46760000
2.84566000,-1.05046000,2.42581000
3.39240000,-0.39080500,2.04717000
3.61179000,-0.52977900,1.82880000
3.05130000,-0.69448600,1.70593000
3.53065000,-0.72746400,3.04640000
3.09884000,-0.61020400,2.26965000
3.01636000,-0.21474800,2.66293000
3.19041000,-0.61055400,1.92022000
3.57085000,-0.69181200,2.94557000
3.91057000,-0.69032400,2.94555000
4.00926000,-0.63000300,2.84363000
3.15047000,-0.70879500,2.68523000
3.17018000,-0.29074500,2.52477000
3.58470000,-0.51015200,2.36045000
3.37010000,-0.25190500,2.36329000
3.38900000,-0.66851200,1.88642000
2.82503000,-0.65043600,1.62953000
2.55202000,-0.78912500,2.08371000
3.63110000,-0.23202000,2.16408000
3.54952000,-0.73151000,3.08682000
3.89159000,-0.70851600,2.14624000
2.74935000,-0.55155000,1.78519000
3.96556000,-0.56681700,3.03063000
3.73197000,-0.85214200,3.12008000
3.19106000,-0.99083900,2.72741000
2.73209000,-1.01243000,1.74529000
3.33144000,-0.56942800,2.56702000
2.61961000,-0.69962000,2.03057000
4.07513000,-0.78621500,2.71278000
3.89079000,-0.65842500,2.32577000
2.55180000,-0.52477000,1.81156000
3.37100000,-0.68459600,1.94685000
4.05074000,-0.47084900,2.92650000
2.61195000,-0.69773700,2.04679000
3.99216000,-0.43377900,2.92571000
2.78389000,-0.98953500,1.72655000
3.77131000,-0.69296600,2.18592000
2.53149000,-0.93125100,2.16734000
2.92190000,-0.72093900,2.01510000
3.42814000,-0.53004000,1.66583000
3.99066000,-0.46988500,2.96580000
4.19092000,-0.71072700,2.52542000
2.98976000,-0.75217400,1.86515000
4.21081000,-0.69401400,2.48500000
3.02391000,-0.74815600,1.64071000
2.86794000,-0.63883000,1.69928000
3.59101000,-0.52191400,1.75016000
3.21383000,-0.62941600,1.42861000
2.79734000,-0.91070200,2.44342000
3.61460000,-0.34885900,2.22973000
3.37041000,-0.70756700,2.90536000
2.57867000,-0.73452800,1.97090000
3.59042000,-0.23762000,1.94540000
2.80951000,-1.03101000,2.40682000
2.81112000,-0.54854700,1.64767000
2.65018000,-1.05124000,1.88674000
3.69146000,-0.19293500,2.12448000
3.13095000,-0.65475800,2.18574000
3.70766000,-0.55159000,2.22237000
4.03315000,-0.71209400,2.76753000
2.83214000,-0.55031600,1.64707000
3.10954000,-0.39117400,2.62492000
2.85051000,-1.10973000,2.50492000
3.03130000,-0.69740700,2.04598000
2.73215000,-0.71541000,1.86762000
2.82934000,-1.09081000,2.44657000
3.53413000,-0.61225800,1.72545000
3.40755000,-0.70897400,2.04731000
3.20764000,-1.30989000,2.79088000
2.83115000,-0.69679200,2.26543000
3.73021000,-0.39014800,1.92500000
3.26892000,-0.89080200,2.84924000
3.35319000,-0.33131100,2.12707000
3.48896000,-0.70913100,2.56683000
3.27137000,-1.29043000,2.90311000
