x,y,z
2.61353000,-1.29553000,1.10275000
2.57015000,-1.26819000,1.16676000
2.59291000,-1.28749000,1.04637000
2.56558000,-1.22954000,1.11050000
2.55510000,-1.32975000,1.04588000
2.59076000,-1.28672000,1.14468000
2.53034000,-1.23705000,1.06632000
2.58916000,-1.30834000,1.02798000
2.53300000,-1.24799000,1.02684000
2.55179000,-1.29003000,1.10885000
2.51499000,-1.25256000,1.10491000
2.55433000,-1.30956000,1.16627000
2.57025000,-1.25386000,1.16346000
2.51447000,-1.26968000,1.14225000
2.58933000,-1.27591000,1.04762000
2.58932000,-1.27497000,1.02661000
2.55099000,-1.23406000,1.08322000
2.53311000,-1.27446000,1.02401000
2.53397000,-1.30767000,1.02231000
2.51894000,-1.26729000,1.07033000
2.53158000,-1.23698000,1.10382000
2.55270000,-1.29262000,1.14305000
2.51029000,-1.24727000,1.04932000
2.54985000,-1.28871000,1.00684000
2.59064000,-1.30974000,1.08509000
2.56893000,-1.27391000,1.00797000
2.55065000,-1.33214000,1.08466000
2.59022000,-1.25363000,1.12683000
2.53267000,-1.28970000,1.02477000
2.53287000,-1.23683000,1.08818000
2.55049000,-1.23612000,1.13984000
2.58565000,-1.22187000,1.14535000
2.53319000,-1.30433000,1.12460000
2.58612000,-1.28780000,1.00477000
2.56335000,-1.24051000,1.15727000
2.55093000,-1.29237000,1.16628000
2.57050000,-1.31092000,1.04575000
2.51602000,-1.25230000,1.14435000
2.61094000,-1.29252000,1.12926000
2.57095000,-1.24593000,1.12415000
2.56764000,-1.28856000,1.14763000
2.58968000,-1.29161000,1.12482000
2.54940000,-1.27320000,1.12388000
2.56907000,-1.27174000,1.14598000
2.51471000,-1.26824000,1.10788000
2.60852000,-1.31163000,1.08453000
2.54828000,-1.26949000,1.00485000
2.53224000,-1.29007000,1.12622000
2.59204000,-1.24156000,1.06487000
2.60437000,-1.26993000,1.10983000
2.51340000,-1.23805000,1.10521000
2.53360000,-1.28690000,1.04405000
2.59154000,-1.27267000,1.10700000
2.59275000,-1.31124000,1.10613000
2.57086000,-1.29319000,1.08169000
2.54924000,-1.30821000,1.12410000
2.53410000,-1.27245000,1.01012000
2.55235000,-1.26533000,1.09459000
2.55453000,-1.25531000,1.01244000
2.55070000,-1.27152000,1.16771000
2.51054000,-1.23064000,1.08597000
2.57207000,-1.31199000,1.16511000
2.57086000,-1.27315000,1.04567000
2.55066000,-1.23343000,1.10517000
2.60893000,-1.29148000,1.08360000
2.55442000,-1.33048000,1.06915000
2.54978000,-1.25128000,1.08454000
2.56913000,-1.30622000,1.08721000
2.58815000,-1.25430000,1.03961000
2.52765000,-1.23533000,1.13812000
2.57153000,-1.29245000,1.06606000
2.53117000,-1.22852000,1.13225000
2.54049000,-1.30176000,1.05189000
2.52900000,-1.24880000,1.08663000
2.59015000,-1.27582000,1.06778000
2.51183000,-1.25137000,1.12674000
2.51138000,-1.23504000,1.06781000
2.53994000,-1.30814000,1.10457000
2.51367000,-1.26341000,1.04749000
2.56673000,-1.23705000,1.06779000
2.56979000,-1.29110000,1.02794000
2.54966000,-1.24988000,1.14482000
2.55154000,-1.29160000,1.02671000
2.54857000,-1.24861000,1.06343000
2.55211000,-1.27323000,1.02275000
2.57967000,-1.21985000,1.14719000
2.58145000,-1.31234000,1.00840000
2.60568000,-1.28986000,1.06337000
2.60710000,-1.27236000,1.16533000
2.57153000,-1.31084000,1.10646000
2.60516000,-1.27684000,1.06746000
2.57100000,-1.27372000,1.02548000
2.54047000,-1.30018000,1.06592000
2.55002000,-1.27146000,1.04945000
2.57051000,-1.25039000,1.14519000
2.55009000,-1.25170000,1.10401000
2.53376000,-1.30352000,1.01008000
2.56764000,-1.24933000,1.06686000
2.55126000,-1.31074000,1.06734000
2.55057000,-1.29302000,1.12541000
2.57593000,-1.31539000,1.12301000
2.56985000,-1.27581000,1.12704000
2.53223000,-1.28940000,1.10853000
2.56362000,-1.23435000,1.08356000
2.60826000,-1.27404000,1.08296000
2.60088000,-1.25840000,1.14024000
2.49861000,-1.25172000,1.08409000
2.55261000,-1.29475000,1.08518000
2.55302000,-1.23379000,1.12625000
2.60376000,-1.28967000,1.02809000
2.58921000,-1.25572000,1.16548000
2.55469000,-1.27331000,1.06039000
2.56921000,-1.27628000,1.09878000
2.54812000,-1.30995000,1.02515000
2.57139000,-1.22830000,1.12578000
2.56968000,-1.26717000,1.08964000
2.51398000,-1.25008000,1.08559000
2.54687000,-1.24939000,1.12475000
2.55433000,-1.29429000,1.04598000
2.58952000,-1.28984000,1.06541000
2.62710000,-1.29676000,1.09084000
2.55118000,-1.26978000,1.10576000
2.57343000,-1.28840000,1.00625000
2.53692000,-1.27086000,1.04170000
2.57211000,-1.25771000,1.02594000
2.55486000,-1.33117000,1.02809000
2.54965000,-1.23567000,1.06662000
2.58599000,-1.27590000,1.00876000
2.56862000,-1.25572000,1.04613000
2.55009000,-1.24958000,1.02615000
2.61286000,-1.31135000,1.10448000
2.61239000,-1.31333000,1.06429000
2.59182000,-1.33133000,1.08359000
2.59004000,-1.29116000,1.08407000
2.60703000,-1.28819000,1.04829000
2.59161000,-1.30997000,1.06542000
2.59021000,-1.33157000,1.06722000
2.57094000,-1.31116000,1.06818000
2.59046000,-1.29328000,1.02369000
2.57085000,-1.27420000,1.06253000
2.55370000,-1.29474000,1.06442000
2.56884000,-1.33083000,1.04657000
2.55159000,-1.31088000,1.04438000
2.54946000,-1.25080000,1.04514000
