x,y,z
0.11116200,-1.08999000,-1.41316000
0.05008810,-1.15032000,-1.43380000
0.24781200,-1.13103000,-1.27551000
0.19126200,-1.12913000,-1.33309000
0.14895100,-1.08975000,-1.27042000
0.21224500,-1.07148000,-1.29307000
0.19136600,-1.08945000,-1.27392000
0.25173300,-1.21110000,-1.33368000
0.26881500,-1.18996000,-1.33381000
0.20728800,-1.16950000,-1.25840000
0.25137800,-1.17034000,-1.31480000
0.11038500,-1.15074000,-1.35483000
0.21089600,-1.09082000,-1.35392000
0.07082740,-1.13086000,-1.41368000
0.19174700,-1.09631000,-1.33719000
0.06653760,-1.19024000,-1.41265000
0.15059500,-1.14935000,-1.33381000
0.13046800,-1.15000000,-1.33329000
0.17132500,-1.15089000,-1.25222000
0.14820100,-1.21170000,-1.31122000
0.13122100,-1.11181000,-1.27582000
0.21220600,-1.11187000,-1.31655000
0.09356140,-1.17116000,-1.35566000
0.26681800,-1.16894000,-1.29406000
0.17033100,-1.14953000,-1.31314000
0.13150000,-1.11141000,-1.39444000
0.24798700,-1.20998000,-1.29473000
0.07708270,-1.13512000,-1.38001000
0.26993400,-1.10959000,-1.31423000
0.09661080,-1.11124000,-1.30068000
0.06847660,-1.17027000,-1.41311000
0.05368630,-1.21194000,-1.45418000
0.23105400,-1.21110000,-1.33123000
0.17002500,-1.17001000,-1.29255000
0.13207000,-1.13471000,-1.31737000
0.22708800,-1.20926000,-1.27921000
0.11100900,-1.15054000,-1.37312000
0.11724900,-1.07767000,-1.29969000
0.19012400,-1.10957000,-1.35389000
0.03852360,-1.18805000,-1.45199000
0.21144800,-1.06453000,-1.30847000
0.19148400,-1.21212000,-1.29181000
0.09191670,-1.09532000,-1.33613000
0.03715980,-1.16839000,-1.43354000
0.07100820,-1.14742000,-1.32935000
0.07218380,-1.15111000,-1.43469000
0.19037300,-1.12930000,-1.31306000
0.12920100,-1.15008000,-1.35397000
0.23093100,-1.12992000,-1.33315000
0.07420410,-1.13327000,-1.39683000
0.21121300,-1.13069000,-1.33476000
0.18924900,-1.17145000,-1.27808000
0.13057700,-1.13006000,-1.35372000
0.14976300,-1.09451000,-1.29513000
0.23062900,-1.14810000,-1.33092000
0.10902300,-1.16967000,-1.35280000
0.13554200,-1.20816000,-1.31430000
0.04880340,-1.17051000,-1.43414000
0.15054900,-1.09118000,-1.37473000
0.21044000,-1.17015000,-1.29452000
0.23246000,-1.16949000,-1.31420000
0.21046400,-1.19141000,-1.29518000
0.10985500,-1.09682000,-1.37882000
0.05342530,-1.17130000,-1.41687000
0.21041000,-1.21133000,-1.26115000
0.13046300,-1.12985000,-1.37363000
0.17377800,-1.07409000,-1.30567000
0.03807670,-1.19074000,-1.41982000
0.09624270,-1.19009000,-1.35585000
0.22724000,-1.11685000,-1.26289000
0.15154700,-1.19135000,-1.39339000
0.11266100,-1.18888000,-1.33651000
0.08933650,-1.18942000,-1.37360000
0.25156800,-1.21119000,-1.31639000
0.24402300,-1.09650000,-1.27990000
0.15098400,-1.17047000,-1.29528000
0.15256900,-1.15123000,-1.29632000
0.25111300,-1.11006000,-1.33367000
0.25220200,-1.14977000,-1.33123000
0.11136700,-1.13210000,-1.35529000
0.18980200,-1.10961000,-1.33378000
0.11128000,-1.14825000,-1.41493000
0.16930600,-1.17065000,-1.25267000
0.12956800,-1.09021000,-1.39266000
0.15466800,-1.10023000,-1.34008000
0.11034500,-1.14859000,-1.39458000
0.13806600,-1.21114000,-1.29507000
0.06918490,-1.13049000,-1.43448000
0.13283100,-1.11149000,-1.35570000
0.05399520,-1.15113000,-1.41594000
0.11063000,-1.11258000,-1.37492000
0.03916270,-1.16954000,-1.47473000
0.19064400,-1.13056000,-1.25517000
0.17228900,-1.09342000,-1.35553000
0.19060500,-1.13155000,-1.27445000
0.14827200,-1.19050000,-1.30921000
0.21086700,-1.14924000,-1.31252000
0.23198000,-1.19029000,-1.33398000
0.23195700,-1.19021000,-1.31416000
0.23386000,-1.08949000,-1.29221000
0.16895600,-1.21167000,-1.29238000
0.07061930,-1.12918000,-1.45301000
0.26288200,-1.18936000,-1.29664000
0.10985300,-1.09276000,-1.31589000
0.10804200,-1.08486000,-1.32621000
0.12998400,-1.10983000,-1.29281000
0.23389000,-1.17317000,-1.33510000
0.15356400,-1.13145000,-1.29503000
0.23236600,-1.15202000,-1.25720000
0.23206700,-1.17118000,-1.25513000
0.09293770,-1.11442000,-1.37534000
0.20539100,-1.09534000,-1.26336000
0.21029000,-1.19062000,-1.33378000
0.09088640,-1.13271000,-1.37470000
0.09067440,-1.13014000,-1.39440000
0.03814240,-1.17039000,-1.45400000
0.07961240,-1.09524000,-1.42255000
0.17173300,-1.13132000,-1.25489000
0.14807800,-1.08100000,-1.30577000
0.11638600,-1.13442000,-1.33812000
0.12838700,-1.17001000,-1.33186000
0.11004000,-1.16912000,-1.37378000
0.06839070,-1.15080000,-1.41387000
0.25223900,-1.12915000,-1.33264000
0.25289000,-1.17128000,-1.33385000
0.25056500,-1.19146000,-1.33409000
0.23253400,-1.15028000,-1.31249000
0.23119100,-1.20998000,-1.31396000
0.23080200,-1.10903000,-1.33357000
0.23012500,-1.13029000,-1.31313000
0.18960000,-1.21100000,-1.27735000
0.23153100,-1.11215000,-1.31710000
0.21108500,-1.12861000,-1.31197000
0.21525200,-1.17172000,-1.31130000
0.21292200,-1.19244000,-1.31412000
0.21418600,-1.21166000,-1.31305000
0.25042100,-1.11258000,-1.31750000
0.21035100,-1.08963000,-1.37349000
0.21051800,-1.11139000,-1.35418000
0.21054500,-1.11004000,-1.33282000
0.19119400,-1.17066000,-1.29334000
0.19106900,-1.14961000,-1.29305000
0.19129800,-1.19116000,-1.29087000
0.19048400,-1.09108000,-1.37310000
0.19149000,-1.09212000,-1.35525000
0.09116690,-1.14964000,-1.39347000
0.17137900,-1.15084000,-1.29406000
0.16995900,-1.19039000,-1.29214000
0.10854500,-1.19038000,-1.35295000
0.17129300,-1.11054000,-1.35295000
0.17032700,-1.11209000,-1.33509000
0.17091700,-1.13029000,-1.33374000
0.17043900,-1.12972000,-1.31350000
0.08761140,-1.10874000,-1.33185000
0.17081500,-1.09167000,-1.39444000
0.17061200,-1.08949000,-1.37341000
0.17055500,-1.11070000,-1.37348000
0.15208400,-1.11158000,-1.35330000
0.15050700,-1.12954000,-1.33338000
0.15070800,-1.13337000,-1.31524000
0.14992300,-1.15010000,-1.31328000
0.14875100,-1.16920000,-1.31196000
0.15078500,-1.08889000,-1.39335000
0.14971800,-1.11196000,-1.37371000
0.14999400,-1.12968000,-1.35342000
0.13195700,-1.13187000,-1.33491000
0.13157400,-1.15142000,-1.31552000
0.13011700,-1.17081000,-1.31538000
0.12682200,-1.19130000,-1.33272000
0.13194300,-1.21182000,-1.33458000
0.12871100,-1.11039000,-1.37413000
0.11048400,-1.17075000,-1.47482000
0.11263200,-1.15035000,-1.33598000
0.11215600,-1.17094000,-1.33606000
0.11213400,-1.21035000,-1.35722000
0.11207400,-1.09310000,-1.39555000
0.11093900,-1.11115000,-1.39397000
0.10881900,-1.13038000,-1.37339000
0.13426700,-1.11632000,-1.33838000
0.09457470,-1.09287000,-1.41647000
0.09088600,-1.11076000,-1.41342000
0.09265460,-1.11297000,-1.39482000
0.08974630,-1.15091000,-1.37526000
0.08920800,-1.16918000,-1.37380000
0.09266430,-1.20843000,-1.37547000
0.08985610,-1.11066000,-1.43453000
0.07099990,-1.11010000,-1.43382000
0.07467880,-1.11372000,-1.41713000
0.07199920,-1.15175000,-1.39564000
0.07172550,-1.17091000,-1.39555000
0.07228240,-1.19083000,-1.39608000
0.06982370,-1.10977000,-1.45421000
0.05361930,-1.13130000,-1.43365000
0.05424960,-1.19131000,-1.41515000
0.04873570,-1.21119000,-1.43390000
0.05413170,-1.12972000,-1.47112000
0.05338930,-1.13158000,-1.45418000
0.04936430,-1.19104000,-1.43217000
0.04734930,-1.15146000,-1.47373000
0.04761920,-1.14943000,-1.45277000
0.03964590,-1.15068000,-1.45146000
0.03801460,-1.20998000,-1.45293000
0.11018200,-1.11033000,-1.41407000
0.13258800,-1.19066000,-1.31639000
0.22828000,-1.16992000,-1.27580000
0.17047200,-1.13298000,-1.39324000
0.17221000,-1.17189000,-1.27768000
0.16786200,-1.14674000,-1.33117000
0.16919600,-1.12947000,-1.35486000
0.26441300,-1.15085000,-1.29700000
0.19025800,-1.19143000,-1.27668000
0.18895800,-1.05781000,-1.29997000
0.15150400,-1.17182000,-1.35291000
0.25115800,-1.09450000,-1.31612000
0.07350560,-1.15185000,-1.37683000
0.07659910,-1.10874000,-1.31882000
0.04016530,-1.15814000,-1.42283000
0.21168200,-1.11011000,-1.29671000
0.11324200,-1.09271000,-1.29422000
0.20956400,-1.13160000,-1.25721000
0.15380800,-1.10984000,-1.29159000
0.05144680,-1.21182000,-1.39615000
0.20950000,-1.21256000,-1.29439000
0.17203200,-1.21074000,-1.27777000
0.22673700,-1.15153000,-1.27684000
0.13354200,-1.17002000,-1.29643000
0.24946900,-1.16977000,-1.29459000
0.13335800,-1.09307000,-1.27880000
0.23137800,-1.11077000,-1.29419000
0.09018460,-1.17025000,-1.39493000
0.19092500,-1.14619000,-1.33644000
0.19248000,-1.11264000,-1.31598000
0.15226400,-1.19090000,-1.29405000
0.07529930,-1.17225000,-1.45549000
0.13009000,-1.09156000,-1.29366000
0.09500370,-1.16336000,-1.31894000
0.15994200,-1.09308000,-1.26180000
0.24898100,-1.13243000,-1.31683000
0.15312500,-1.18837000,-1.25870000
0.14931500,-1.14722000,-1.35431000
0.09573390,-1.13629000,-1.35796000
0.13521400,-1.09939000,-1.36268000
0.23119200,-1.09198000,-1.27659000
0.07252370,-1.20957000,-1.39605000
0.07837980,-1.09710000,-1.31997000
0.26410100,-1.13133000,-1.29802000
0.03978060,-1.15278000,-1.46929000
0.12694100,-1.09124000,-1.30877000
0.19029100,-1.15167000,-1.27712000
0.19156400,-1.11012000,-1.25929000
0.17038600,-1.12896000,-1.27462000
0.16716600,-1.07357000,-1.29461000
0.19007400,-1.12939000,-1.37180000
0.22855800,-1.13148000,-1.29604000
0.06317680,-1.12436000,-1.34972000
0.05593750,-1.13338000,-1.41790000
0.24701100,-1.17400000,-1.27815000
0.05601380,-1.13736000,-1.35472000
0.05590670,-1.14814000,-1.35564000
0.09502000,-1.14111000,-1.29877000
0.07819550,-1.11691000,-1.37332000
0.20990700,-1.13268000,-1.29656000
0.21045200,-1.09392000,-1.33650000
0.17805600,-1.07735000,-1.36417000
0.15102200,-1.20856000,-1.27441000
0.09719740,-1.09396000,-1.39633000
0.12979900,-1.19125000,-1.35680000
0.10863500,-1.11019000,-1.31108000
0.13595000,-1.21125000,-1.27664000
0.25097900,-1.15111000,-1.31712000
0.23133000,-1.09233000,-1.33556000
0.21100300,-1.15033000,-1.29418000
0.19147500,-1.13241000,-1.29575000
0.18995300,-1.22984000,-1.27700000
0.17255000,-1.11439000,-1.31674000
0.17203900,-1.13379000,-1.29676000
0.17170200,-1.15166000,-1.27654000
0.17189600,-1.19044000,-1.27710000
0.17355600,-1.07598000,-1.37765000
0.15168800,-1.21035000,-1.29415000
0.15384900,-1.09660000,-1.35726000
0.15128500,-1.11278000,-1.33650000
0.13741900,-1.18728000,-1.29828000
0.25215000,-1.08966000,-1.29266000
0.13177700,-1.09508000,-1.37690000
0.07535070,-1.14956000,-1.31913000
0.11299600,-1.11506000,-1.35764000
0.09408320,-1.15108000,-1.35570000
0.09941040,-1.16988000,-1.33880000
0.08965760,-1.21120000,-1.39475000
0.07667540,-1.09536000,-1.43625000
0.07398150,-1.17175000,-1.37627000
0.05831900,-1.11558000,-1.43536000
0.05255470,-1.21130000,-1.41660000
0.21130500,-1.11220000,-1.26135000
0.05675940,-1.11385000,-1.45231000
0.03790020,-1.15437000,-1.43865000
0.03697140,-1.18883000,-1.43284000
0.17233200,-1.09886000,-1.33661000
0.15125900,-1.11607000,-1.31594000
0.17127100,-1.15029000,-1.35306000
0.19140100,-1.11219000,-1.29491000
0.13267600,-1.17240000,-1.37542000
0.13322800,-1.14996000,-1.27461000
0.15636300,-1.08070000,-1.30443000
0.17373400,-1.19490000,-1.31736000
0.22978100,-1.15121000,-1.29717000
0.17059300,-1.08953000,-1.29313000
0.24993600,-1.19248000,-1.35431000
0.19311700,-1.08406000,-1.28946000
0.06302760,-1.15393000,-1.35035000
0.24850100,-1.19010000,-1.29669000
0.15714800,-1.07964000,-1.37965000
0.08983160,-1.13177000,-1.45342000
0.19765100,-1.06501000,-1.31070000
0.27111200,-1.19059000,-1.31515000
0.16999300,-1.08971000,-1.27159000
0.15162500,-1.07747000,-1.27979000
0.07822800,-1.11814000,-1.39644000
0.13177800,-1.07364000,-1.29333000
0.23070000,-1.07998000,-1.33674000
0.13033800,-1.14762000,-1.37464000
0.22847900,-1.13163000,-1.27640000
0.25180600,-1.18994000,-1.31525000
0.22895200,-1.17033000,-1.29527000
0.22925500,-1.19045000,-1.29454000
0.22855600,-1.21051000,-1.29631000
0.11181300,-1.21159000,-1.39406000
0.17056800,-1.11545000,-1.29384000
0.08821770,-1.12964000,-1.41369000
0.07345920,-1.18791000,-1.37756000
0.05370470,-1.19284000,-1.45379000
0.27005100,-1.15081000,-1.31315000
0.10744600,-1.13483000,-1.31373000
0.18827800,-1.21056000,-1.25654000
0.15075900,-1.12992000,-1.39483000
0.20915200,-1.13187000,-1.27526000
0.20789400,-1.15016000,-1.27436000
0.19115500,-1.11028000,-1.37468000
0.17038900,-1.10944000,-1.39338000
0.14957200,-1.10962000,-1.39413000
0.11070400,-1.12855000,-1.39189000
0.11009000,-1.13264000,-1.41428000
0.09076000,-1.11011000,-1.45395000
0.09118930,-1.13063000,-1.43384000
0.06941780,-1.13015000,-1.47548000
0.05101440,-1.17338000,-1.47299000
0.09172270,-1.14989000,-1.43268000
0.21144100,-1.15125000,-1.33149000
0.20840800,-1.12865000,-1.35256000
0.18927600,-1.14951000,-1.31303000
0.19068500,-1.12951000,-1.35260000
0.17028500,-1.13004000,-1.37441000
0.16984800,-1.16896000,-1.30907000
0.15074200,-1.13029000,-1.37389000
0.14533600,-1.16837000,-1.33155000
0.13038300,-1.13276000,-1.39395000
0.12573600,-1.16676000,-1.35003000
0.13009900,-1.20920000,-1.35318000
0.08944620,-1.14986000,-1.41433000
0.08972160,-1.19059000,-1.39415000
0.06991420,-1.14852000,-1.45246000
0.06878940,-1.16880000,-1.43483000
0.05019190,-1.17234000,-1.45410000
0.19047100,-1.11176000,-1.27442000
0.09631360,-1.15391000,-1.33494000
0.11215000,-1.07544000,-1.39831000
0.20774500,-1.19184000,-1.25986000
0.11624600,-1.20740000,-1.33906000
0.24296400,-1.15263000,-1.28389000
0.15004600,-1.13062000,-1.27276000
0.27054800,-1.16919000,-1.31360000
0.07188600,-1.15094000,-1.47283000
0.13141200,-1.15105000,-1.29427000
0.26969600,-1.13126000,-1.31601000
0.26474400,-1.11152000,-1.29725000
0.26398000,-1.21371000,-1.30243000
0.24995100,-1.11102000,-1.29686000
0.24933000,-1.13165000,-1.29251000
0.24807200,-1.15216000,-1.29548000
0.24737400,-1.18980000,-1.27765000
0.23182000,-1.09537000,-1.31461000
0.22846100,-1.18988000,-1.27748000
0.20897800,-1.17014000,-1.27411000
0.20816900,-1.19086000,-1.27435000
0.20860200,-1.21042000,-1.27357000
0.15095700,-1.14972000,-1.27305000
0.15174000,-1.17023000,-1.27630000
0.15200400,-1.19150000,-1.27596000
0.11313400,-1.17076000,-1.31617000
0.11352200,-1.18812000,-1.31981000
0.09412560,-1.20901000,-1.36229000
0.16914300,-1.19400000,-1.25482000
0.11150700,-1.15251000,-1.31502000
0.21781200,-1.08005000,-1.33837000
0.05317590,-1.17210000,-1.39499000
0.13114700,-1.15119000,-1.39640000
0.11325000,-1.17079000,-1.39569000
0.11081800,-1.19223000,-1.37430000
0.09168270,-1.13315000,-1.47306000
0.08949570,-1.17113000,-1.41495000
0.07298370,-1.21020000,-1.38161000
0.19012100,-1.07709000,-1.35626000
0.13539000,-1.19225000,-1.27656000
0.09556410,-1.18866000,-1.34152000
0.05288490,-1.15059000,-1.39902000
0.05281830,-1.19105000,-1.39666000
0.03920430,-1.17259000,-1.41984000
0.17434200,-1.09416000,-1.26059000
0.08889220,-1.11277000,-1.31641000
0.09206840,-1.09643000,-1.31222000
0.19363600,-1.09883000,-1.32053000
0.23028100,-1.11161000,-1.27018000
0.21093400,-1.11468000,-1.27491000
0.20973200,-1.09742000,-1.31687000
0.20720300,-1.14995000,-1.25865000
0.18869100,-1.14978000,-1.25298000
0.18948500,-1.17020000,-1.25316000
0.18707900,-1.18961000,-1.25491000
0.17108300,-1.11255000,-1.27421000
0.15409500,-1.13548000,-1.25844000
0.15314000,-1.15240000,-1.25696000
0.15230900,-1.17222000,-1.25809000
0.15507500,-1.20884000,-1.25917000
0.13402700,-1.13161000,-1.29494000
0.13344000,-1.13110000,-1.27823000
0.13398800,-1.16955000,-1.27570000
0.19019400,-1.07385000,-1.27979000
0.21948000,-1.10041000,-1.30408000
0.26592100,-1.09973000,-1.30273000
0.11091000,-1.13040000,-1.29511000
0.24578800,-1.10967000,-1.27724000
0.24621300,-1.07809000,-1.29993000
0.23083800,-1.13011000,-1.25846000
0.23080600,-1.18338000,-1.25694000
0.22942500,-1.07275000,-1.29537000
0.21090100,-1.08971000,-1.27343000
0.19453500,-1.06968000,-1.29484000
0.19451200,-1.05428000,-1.31207000
0.16868600,-1.10991000,-1.25945000
0.15045700,-1.11090000,-1.27532000
0.13918100,-1.14580000,-1.26395000
0.11166300,-1.11111000,-1.29389000
0.11434300,-1.14976000,-1.29528000
0.08774160,-1.13275000,-1.31540000
0.09111140,-1.14674000,-1.31538000
0.08608840,-1.12714000,-1.32939000
0.07894820,-1.12998000,-1.32697000
0.06621340,-1.11646000,-1.35098000
0.22156100,-1.07991000,-1.27967000
0.20954400,-1.07496000,-1.28056000
0.20545100,-1.05874000,-1.29913000
0.19178600,-1.09396000,-1.26103000
0.17188900,-1.07559000,-1.27750000
0.15377600,-1.10530000,-1.26032000
0.14954100,-1.06847000,-1.29049000
0.15091900,-1.06081000,-1.29725000
0.11874300,-1.12716000,-1.28105000
