x,y,z
1.23868000,-0.70474600,2.37320000
1.55841000,-0.71992000,2.17373000
1.25760000,-0.73394400,2.35694000
1.48000000,-0.64204200,2.21478000
1.32082000,-0.82318800,2.09136000
1.17860000,-0.70409000,2.39333000
1.22409000,-0.86028000,2.08375000
1.54659000,-0.66744300,2.30647000
1.39730000,-0.71605600,1.97376000
1.33842000,-0.68508900,1.99241000
1.19914000,-0.76414600,2.19312000
1.26058000,-0.78623000,1.97628000
1.80020000,-0.66682300,2.23497000
1.24143000,-0.54176300,2.49040000
1.41852000,-0.72136600,2.29232000
1.38259000,-0.68348500,2.05373000
1.31950000,-0.76457600,2.17149000
1.15993000,-0.74366100,2.47292000
1.24631000,-0.60659600,2.60583000
1.63355000,-0.63113500,1.94986000
1.35988000,-0.68320000,2.07178000
1.53916000,-0.82308700,1.85296000
1.41881000,-0.70489600,2.19292000
1.27896000,-0.84193800,1.97214000
1.35892000,-0.62411400,1.95063000
1.07869000,-0.76361000,2.23331000
1.42025000,-0.66354100,2.03329000
1.34064000,-0.64452100,1.93493000
1.43846000,-0.60409100,1.85293000
1.45980000,-0.94006900,1.93171000
1.39916000,-0.62244100,2.23188000
1.33913000,-0.80545900,1.93280000
1.46056000,-1.14203000,1.83071000
1.39463000,-0.92507100,2.00902000
1.57873000,-0.68448100,2.41126000
1.23200000,-0.78756000,2.51576000
1.51723000,-0.96391000,1.94525000
1.24411000,-0.69078100,1.94933000
1.16349000,-0.83016000,2.46768000
1.13979000,-0.76358600,2.25271000
1.32267000,-0.88567300,2.10796000
1.22155000,-0.88301300,2.27145000
1.32071000,-0.68453000,2.51252000
1.57795000,-0.64519800,1.99074000
1.38807000,-0.65786700,2.23012000
1.21935000,-0.72436000,2.53189000
1.53875000,-0.66376900,1.83797000
1.17907000,-0.52332400,2.49749000
1.62212000,-0.68610600,1.89419000
1.37957000,-0.88215900,1.95263000
1.40014000,-0.74519800,1.91318000
1.46114000,-0.74501400,1.97245000
1.68110000,-0.70672300,2.15384000
1.29959000,-0.82053900,2.11382000
1.15746000,-0.76379100,2.41032000
1.25986000,-0.76353800,2.03285000
1.50084000,-0.76516800,1.91132000
1.19546000,-0.80371600,2.51618000
1.13828000,-0.74184100,2.29254000
1.45837000,-0.70235500,1.87112000
1.23961000,-0.72003100,2.43329000
1.49968000,-0.84340500,1.87246000
1.48148000,-0.82195300,1.91838000
1.26299000,-0.69715200,2.57208000
1.41794000,-0.68508700,2.15283000
1.57625000,-0.72001700,1.93003000
1.63729000,-0.62902400,2.29037000
1.67880000,-0.68207900,2.01245000
1.63632000,-0.71991900,2.13055000
1.55926000,-0.70250400,1.93221000
1.34643000,-0.86600500,1.89918000
1.50401000,-0.62769000,2.13394000
1.35853000,-0.78472400,2.17461000
1.43989000,-0.73629600,2.47282000
1.36012000,-0.72409700,1.89449000
1.43553000,-0.62874700,2.24921000
1.32079000,-0.64687600,2.01395000
1.29793000,-0.76324200,2.15355000
1.64044000,-0.64350400,2.03291000
1.16330000,-0.60539600,2.53473000
1.33917000,-0.86398600,1.95367000
1.53438000,-0.67144500,2.45376000
1.41380000,-0.86348600,1.94984000
1.48134000,-0.78509700,1.91458000
1.51555000,-0.66498200,2.27257000
1.17538000,-0.74102800,2.55226000
1.47896000,-0.70257000,2.41286000
1.22174000,-0.98480100,2.28668000
1.22036000,-0.70376800,2.35159000
1.47929000,-0.70510400,1.93358000
1.39922000,-0.82334700,1.87356000
1.63821000,-0.66409400,2.03202000
1.26014000,-0.68663600,2.27050000
1.65751000,-0.66348100,2.01224000
1.22212000,-1.00306000,2.28446000
1.75324000,-0.62997300,2.20835000
1.61909000,-0.70268600,1.93212000
1.43932000,-0.74209300,2.45226000
1.61778000,-0.68340700,1.91226000
1.22140000,-0.86240200,2.27384000
1.22893000,-0.63046800,2.03651000
1.81979000,-0.71596900,2.23012000
1.31957000,-0.70538500,2.21257000
1.55668000,-0.77587000,2.40519000
1.46001000,-0.64456500,2.09405000
1.50086000,-1.04481000,1.89251000
1.29916000,-0.70524400,2.21402000
1.31721000,-0.84136400,2.21030000
1.29013000,-0.61570100,1.86337000
1.45933000,-0.84421900,1.91587000
1.22889000,-0.72646400,2.02162000
1.45712000,-0.68518800,1.83145000
1.24540000,-0.70375700,1.99496000
1.55837000,-0.66689900,2.01293000
1.33859000,-0.70554200,2.31205000
1.25822000,-0.82257800,2.13213000
1.35773000,-0.72388400,2.41197000
1.72057000,-0.72691100,2.15372000
1.37840000,-0.62637600,1.97324000
1.13668000,-0.68021300,2.36956000
1.29278000,-0.57974900,2.50207000
1.59728000,-0.63018100,2.27303000
1.24163000,-0.70258700,2.51308000
1.25995000,-0.60382300,2.49155000
1.39847000,-0.78204100,1.93306000
1.51875000,-0.68249100,2.03422000
1.49923000,-0.70431000,2.33259000
1.63819000,-0.66581000,1.99345000
1.64063000,-0.72551200,2.27517000
1.51803000,-0.88524500,1.94656000
1.29837000,-0.80311000,2.07267000
1.24013000,-0.68368400,2.21097000
1.65283000,-0.71554600,2.01079000
1.21946000,-0.70189000,2.33261000
1.14300000,-0.72636300,2.39336000
1.18139000,-0.54296400,2.51168000
1.53863000,-0.72093300,2.13003000
1.54015000,-0.80284600,1.87182000
1.32092000,-0.93026900,2.10370000
1.25567000,-0.62433500,2.50933000
1.61831000,-0.68670000,2.07284000
1.24267000,-0.68377200,2.01238000
1.31559000,-0.84466800,2.11272000
1.20069000,-0.84320300,2.49305000
1.20060000,-0.90463800,2.47028000
1.37795000,-0.69107300,2.41031000
1.42191000,-0.92201000,1.97488000
1.35970000,-0.66299100,1.93230000
1.61852000,-0.66435600,1.93260000
1.63880000,-0.73538000,2.23578000
1.16116000,-0.76447900,2.39191000
1.54049000,-0.62759600,2.09339000
1.53856000,-0.82170000,1.92424000
1.41662000,-0.68349700,1.99283000
1.61599000,-0.76255800,2.39104000
1.32591000,-0.64243600,1.85939000
1.35929000,-0.68426300,1.85295000
1.67905000,-0.63168800,2.09604000
1.68127000,-0.66342000,2.29153000
1.31996000,-0.70529800,2.23344000
1.45280000,-0.83994000,1.96304000
1.61905000,-0.66767500,1.99316000
1.59831000,-0.72578500,2.23049000
1.63585000,-0.73556200,2.27374000
1.34162000,-0.71911700,1.87745000
1.50024000,-0.66532500,2.17348000
1.49835000,-0.68497600,2.29063000
1.49933000,-0.68381900,2.48978000
1.39843000,-0.62342500,1.97319000
1.32929000,-0.61294600,2.02333000
1.66090000,-0.72412600,2.37610000
1.63984000,-0.68672200,2.01445000
1.33807000,-0.62502300,2.03399000
1.18383000,-0.78919100,2.05252000
1.61717000,-0.68521100,2.23386000
1.29587000,-0.91927400,2.10682000
1.39855000,-0.72644300,2.11285000
1.61939000,-0.72087700,2.17337000
1.71949000,-0.73502200,2.18691000
1.49831000,-0.82353500,1.87218000
1.39832000,-0.68338600,2.15359000
1.29621000,-0.84377800,2.08955000
1.53865000,-0.68322500,1.89287000
1.55967000,-0.72704800,2.35282000
1.24522000,-0.74167700,2.07483000
1.29488000,-0.87916900,2.13279000
1.23866000,-1.02348000,2.27198000
1.45618000,-0.68811600,2.33175000
1.61946000,-0.68592700,2.15187000
1.49730000,-0.74400700,1.89190000
1.61843000,-0.72327500,2.37187000
1.41931000,-0.67682000,2.05302000
1.32090000,-0.72313500,1.91423000
1.73363000,-0.63308300,2.09814000
1.59896000,-0.68088000,2.03182000
1.26264000,-0.66434200,2.17320000
1.23975000,-0.68305200,2.05280000
1.33987000,-0.73755500,1.89699000
1.22578000,-0.68328300,2.07288000
1.35616000,-0.76249400,2.19239000
1.24015000,-0.76317200,2.21291000
1.71912000,-0.72509100,2.25400000
1.39827000,-0.78277000,2.01174000
1.61905000,-0.70073000,2.01240000
1.42159000,-0.89937400,1.88989000
1.17981000,-0.72263700,2.49385000
1.51758000,-0.66989100,2.47142000
1.29872000,-0.89660900,2.01801000
1.60029000,-0.68695100,2.17219000
1.20169000,-0.60174700,2.45766000
1.25963000,-0.58424400,2.55073000
1.37898000,-0.70226500,1.85401000
1.57799000,-0.68432900,2.37200000
1.52012000,-0.63254100,2.21426000
1.44020000,-0.64255700,2.13370000
1.22030000,-0.82191500,2.03182000
1.27943000,-0.70621200,2.09263000
1.14129000,-0.79561100,2.21530000
1.27611000,-0.66454500,2.17135000
1.31980000,-0.82390700,2.13720000
1.49443000,-0.73554000,2.43121000
1.25519000,-0.73875600,2.33167000
1.48096000,-0.94403700,1.87131000
1.13982000,-0.78438200,2.25201000
1.36139000,-0.76380400,2.05309000
1.36129000,-0.64179600,2.03175000
1.14256000,-0.72349100,2.33159000
1.59415000,-0.67143900,2.38862000
1.26405000,-0.76486800,1.97785000
1.39900000,-0.70346200,2.37397000
1.41890000,-0.80260400,1.91398000
1.29798000,-0.66682200,2.21242000
1.53714000,-0.76407200,1.87390000
1.55734000,-0.66539100,2.07195000
1.41765000,-0.74495400,1.87341000
1.43926000,-0.68444000,1.91233000
1.19965000,-0.74412200,2.23259000
1.53894000,-0.70476900,2.33335000
1.70006000,-0.67985300,2.07279000
1.23807000,-0.86479200,2.27391000
1.28415000,-0.69551400,1.90045000
1.32075000,-0.64267500,2.15221000
1.27824000,-0.82227500,2.05263000
1.33794000,-0.64106100,2.19253000
1.61146000,-0.62723800,2.12837000
1.67885000,-0.64129700,2.23316000
1.23714000,-0.68441800,2.15390000
1.55760000,-0.66267500,1.85088000
1.68187000,-0.66105200,2.23218000
1.41913000,-0.72419100,1.89301000
1.24182000,-0.78241900,2.13251000
1.29664000,-0.62536300,2.07010000
1.43401000,-0.64384800,1.81277000
1.31902000,-0.80286600,1.93231000
1.47859000,-0.80459700,1.93319000
1.59725000,-0.66459000,2.27135000
1.25830000,-0.64303300,2.55186000
1.13986000,-0.82220300,2.27320000
1.20901000,-0.83576000,2.06045000
1.67830000,-0.70153300,2.33316000
1.53965000,-0.63013100,2.15392000
1.74325000,-0.63275100,2.25868000
1.29915000,-0.68665500,2.27333000
1.33846000,-0.70389000,1.97140000
1.12055000,-0.78387700,2.33414000
1.67887000,-0.66144700,2.01295000
1.57819000,-0.66573300,2.17282000
1.49875000,-1.02367000,1.85216000
1.42291000,-0.74172600,2.45333000
1.28022000,-0.74252700,2.01240000
1.25851000,-0.82218100,2.07224000
1.33909000,-0.70297100,2.47404000
1.53464000,-0.77537800,2.43392000
1.69906000,-0.73554500,2.17267000
1.29917000,-0.76440200,2.11275000
1.55941000,-0.70308100,2.07351000
1.19762000,-0.86192200,2.24929000
1.44037000,-0.70301500,2.15355000
1.32496000,-0.89541500,1.98541000
1.31750000,-0.82219100,2.05055000
1.39624000,-0.73663200,2.12954000
1.30033000,-0.86055900,1.95448000
1.60099000,-0.66866900,2.41657000
1.32055000,-0.76152900,2.23154000
1.43596000,-0.82177100,1.97094000
