x,y,z
0.98058600,0.71673700,-0.10485200
0.98871800,0.66173800,-0.09362170
1.03614000,0.69626500,-0.02989470
1.05014000,0.72983900,-0.08315110
1.00182000,0.63934400,-0.10575900
1.03420000,0.65404600,-0.10787700
1.08036000,0.67206000,-0.10096500
1.05457000,0.61529800,-0.12659100
1.02177000,0.67936300,-0.12323300
1.07809000,0.67682600,-0.08841790
1.02003000,0.61726100,-0.06622220
1.05305000,0.73059900,-0.05167220
0.96640300,0.67928900,-0.03209920
1.05757000,0.66473200,-0.03478450
1.05858000,0.67733900,-0.06705060
1.05668000,0.69542300,-0.08694750
1.07637000,0.69592900,-0.04808150
1.06567000,0.66024400,-0.06810370
0.97786700,0.71655400,-0.04766400
0.97884600,0.69590600,-0.12587100
0.97769000,0.69640000,-0.06697040
1.04232000,0.67816000,-0.03087280
1.00088000,0.71990600,-0.02720680
1.04035000,0.73569600,-0.06585360
1.03143000,0.65849900,-0.12230500
0.99780200,0.71699800,-0.10782700
0.98286400,0.71651300,-0.08668900
1.00398000,0.63892900,-0.08657070
0.99612300,0.69038500,-0.12381200
0.99577000,0.67686700,-0.03235020
0.95887800,0.69841700,-0.12956600
1.09329000,0.63416300,-0.08558070
1.03805000,0.71614100,-0.06726660
0.99889400,0.67939200,-0.12460200
1.04051000,0.69864300,-0.04694140
0.99530200,0.71717800,-0.08671560
1.07411000,0.70320000,-0.10090600
1.03174000,0.61049400,-0.05556340
0.98497800,0.66156600,-0.11519500
1.05248000,0.72865200,-0.10576100
0.98206100,0.68000400,-0.12875600
0.95826600,0.71705400,-0.10708400
1.03101000,0.61536600,-0.06970090
1.10052000,0.65644800,-0.08914110
1.03425000,0.61613100,-0.08786530
1.09263000,0.62953700,-0.06858380
1.02307000,0.62070700,-0.10645900
1.06682000,0.66247500,-0.08472420
1.07241000,0.71041500,-0.06863840
0.99579900,0.65570700,-0.06758130
0.97523800,0.63746800,-0.04677850
1.04420000,0.69679400,-0.08641090
1.01878000,0.67468700,-0.10680400
1.07113000,0.70804400,-0.05030240
1.09562000,0.67495500,-0.06598170
0.99996900,0.69856400,-0.06811150
1.01828000,0.63697000,-0.08712060
0.96724700,0.65146000,-0.12099700
0.98599900,0.67874300,-0.11112200
1.04261000,0.59997900,-0.10374500
0.98058800,0.69622400,-0.04749980
1.02036000,0.65703900,-0.08719100
1.02122000,0.63769500,-0.06632700
0.99535800,0.67814700,-0.04628100
1.08765000,0.64114900,-0.09743520
1.06694000,0.70293100,-0.03595870
1.05953000,0.71666200,-0.06944960
0.99985200,0.67666700,-0.06796270
1.06823000,0.66482800,-0.10154800
1.01552000,0.67661800,-0.08654880
1.00027000,0.65631600,-0.04732190
1.05824000,0.71719500,-0.04803750
1.01830000,0.65566300,-0.06788480
1.01146000,0.71911200,-0.12771100
1.01659000,0.65431300,-0.04976490
1.05662000,0.61509500,-0.10961100
1.05914000,0.71654300,-0.10773300
0.95639900,0.69933000,-0.08465230
1.09727000,0.62341400,-0.06680840
1.03317000,0.63538800,-0.06786600
0.98366500,0.67764100,-0.06393570
1.00711000,0.62578400,-0.06317230
1.07917000,0.69588800,-0.08735540
1.00203000,0.71976300,-0.12579300
1.04071000,0.72065400,-0.12252200
0.97678300,0.67841200,-0.14809500
0.98046100,0.63765900,-0.03266020
1.07606000,0.65862200,-0.05135440
1.05993000,0.65756800,-0.04708500
1.05390000,0.72775800,-0.06792100
1.06737000,0.64464600,-0.04398710
1.05177000,0.69140500,-0.05114390
0.99990600,0.69505900,-0.10700800
1.01315000,0.69398600,-0.10898500
1.07939000,0.69618900,-0.06903480
1.06010000,0.67822800,-0.10319700
1.03741000,0.71572500,-0.04798420
1.04135000,0.59701200,-0.08718720
0.97846100,0.67779100,-0.04663600
1.03502000,0.73008700,-0.03166440
0.97777300,0.71754200,-0.03020470
0.98158200,0.69916900,-0.03218760
0.97877600,0.67659400,-0.03436570
1.01848000,0.63788500,-0.04757970
1.01801000,0.61762100,-0.04959570
0.99705200,0.69649400,-0.04853590
0.98074500,0.71688800,-0.06643660
0.99748100,0.71404800,-0.06599200
1.02397000,0.61762200,-0.08725450
0.99898600,0.69870900,-0.08825700
0.99767300,0.67658700,-0.08796830
1.01623000,0.63446900,-0.10369600
1.03712000,0.61282700,-0.10685900
1.01926000,0.65619500,-0.10700800
1.05814000,0.59768400,-0.10896800
1.00029000,0.67959200,-0.10715000
0.99444100,0.65732400,-0.10433800
1.04586000,0.61684800,-0.12446800
0.97613600,0.65917700,-0.12227700
1.01696000,0.69653800,-0.12296100
0.97693600,0.71384800,-0.12483800
1.01636000,0.71541300,-0.02898390
1.02127000,0.69946600,-0.02745830
1.07741000,0.63581900,-0.04960880
1.04398000,0.67827600,-0.04786810
1.03900000,0.65816000,-0.04246730
1.08781000,0.62434300,-0.05123750
1.09179000,0.62275100,-0.05460980
1.02203000,0.71821200,-0.04562420
1.05697000,0.67710200,-0.04818920
1.07446000,0.65224500,-0.06812400
1.08280000,0.63927800,-0.06570560
